year,exp,type,thr_avg
2057,ssp585,Widebody,0.90024957508903
2058,ssp126,Narrowbody,0.855836176273828
2058,ssp126,Widebody,0.899512841830862
2058,ssp245,Narrowbody,0.856199693064093
2058,ssp245,Widebody,0.900148091957681
2058,ssp370,Narrowbody,0.85664643510365
2058,ssp370,Widebody,0.900863740494763
2058,ssp585,Narrowbody,0.856273948488729
2058,ssp585,Widebody,0.900014024968747
2059,ssp126,Narrowbody,0.856089175585407
2059,ssp126,Widebody,0.900108162797791
2059,ssp245,Narrowbody,0.856368567489266
2059,ssp245,Widebody,0.900179430057682
2059,ssp370,Narrowbody,0.856533027676013
2059,ssp370,Widebody,0.900474187268246
2059,ssp585,Narrowbody,0.856621630447951
2059,ssp585,Widebody,0.900728440518344
2060,ssp126,Narrowbody,0.856262583885419
2060,ssp126,Widebody,0.900250883702766
2060,ssp245,Narrowbody,0.85625642692799
2060,ssp245,Widebody,0.900307402646399
2060,ssp370,Narrowbody,0.856288039972163
2060,ssp370,Widebody,0.900017533538451
2060,ssp585,Narrowbody,0.856748002517908
2060,ssp585,Widebody,0.900939446420352
2061,ssp126,Narrowbody,0.856026604147416
2061,ssp126,Widebody,0.899775619401047
2061,ssp245,Narrowbody,0.855944662461706
2061,ssp245,Widebody,0.899596063718974
2061,ssp370,Narrowbody,0.856458220206309
2061,ssp370,Widebody,0.900407706095928
2061,ssp585,Narrowbody,0.85657652627353
2061,ssp585,Widebody,0.900660891251471
2062,ssp126,Narrowbody,0.856024713574751
2062,ssp126,Widebody,0.899812287687085
2062,ssp245,Narrowbody,0.856175670243485
2062,ssp245,Widebody,0.900065020167741
2062,ssp370,Narrowbody,0.856404760384189
2062,ssp370,Widebody,0.900456020788607
2062,ssp585,Narrowbody,0.856492832832852
2062,ssp585,Widebody,0.900424962309988
2063,ssp126,Narrowbody,0.85587306783635
2063,ssp126,Widebody,0.8997176712758
2063,ssp245,Narrowbody,0.856173483763062
2063,ssp245,Widebody,0.900033962969786
2063,ssp370,Narrowbody,0.856397873266029
2063,ssp370,Widebody,0.900398564125531
2063,ssp585,Narrowbody,0.856650452815557
2063,ssp585,Widebody,0.900635073165606
2064,ssp126,Narrowbody,0.856101560763066
2064,ssp126,Widebody,0.899913545530367
2064,ssp245,Narrowbody,0.856276015272438
2064,ssp245,Widebody,0.900208549574237
2064,ssp370,Narrowbody,0.856401483390703
2064,ssp370,Widebody,0.900320050798218
2064,ssp585,Narrowbody,0.856755373725899
2064,ssp585,Widebody,0.900784615084396
2065,ssp126,Narrowbody,0.856070862450208
2065,ssp126,Widebody,0.899950341855074
2065,ssp245,Narrowbody,0.856513381264452
2065,ssp245,Widebody,0.900542383380704
2065,ssp370,Narrowbody,0.856606391883548
2065,ssp370,Widebody,0.900770295014725
2065,ssp585,Narrowbody,0.85701967124694
2065,ssp585,Widebody,0.901322220535848
2066,ssp126,Narrowbody,0.856195932865304
2066,ssp126,Widebody,0.900266426082045
2066,ssp245,Narrowbody,0.856540405397112
2066,ssp245,Widebody,0.900610391676418
2066,ssp370,Narrowbody,0.856434918835189
2066,ssp370,Widebody,0.900381997066597
2066,ssp585,Narrowbody,0.85658838491943
2066,ssp585,Widebody,0.90063625871808
2067,ssp126,Narrowbody,0.856222751806926
2067,ssp126,Widebody,0.90012983341516
2067,ssp245,Narrowbody,0.856272592478144
2067,ssp245,Widebody,0.900175544601521
2067,ssp370,Narrowbody,0.856853231572217
2067,ssp370,Widebody,0.900968187839678
2067,ssp585,Narrowbody,0.856730428565971
2067,ssp585,Widebody,0.900998997336677
2068,ssp126,Narrowbody,0.855892248365827
2068,ssp126,Widebody,0.899550005324619
2068,ssp245,Narrowbody,0.856113073206946
2068,ssp245,Widebody,0.899908567460033
2068,ssp370,Narrowbody,0.856679260080017
2068,ssp370,Widebody,0.900639704320454
2068,ssp585,Narrowbody,0.856730160562471
2068,ssp585,Widebody,0.900818339008043
2069,ssp126,Narrowbody,0.856202547483781
2069,ssp126,Widebody,0.900285970121468
2069,ssp245,Narrowbody,0.856056975764383
2069,ssp245,Widebody,0.899858885499252
2069,ssp370,Narrowbody,0.856457343445473
2069,ssp370,Widebody,0.900230040091631
2069,ssp585,Narrowbody,0.856636646617198
2069,ssp585,Widebody,0.900785082715062
2070,ssp126,Narrowbody,0.856089906344913
2070,ssp126,Widebody,0.89985464127414
2070,ssp245,Narrowbody,0.856180517867223
2070,ssp245,Widebody,0.89993755530583
2070,ssp370,Narrowbody,0.856513375258296
2070,ssp370,Widebody,0.900460867788187
2070,ssp585,Narrowbody,0.85722609415698
2070,ssp585,Widebody,0.901695852542949
2071,ssp126,Narrowbody,0.8558081091868
2071,ssp126,Widebody,0.899421112370732
2071,ssp245,Narrowbody,0.856468217730278
2071,ssp245,Widebody,0.900471745407518
2071,ssp370,Narrowbody,0.856728331588938
2071,ssp370,Widebody,0.901011940706241
2071,ssp585,Narrowbody,0.856802791377695
2071,ssp585,Widebody,0.90080803734497
2072,ssp126,Narrowbody,0.855842919669195
2072,ssp126,Widebody,0.899474343186413
2072,ssp245,Narrowbody,0.856339522141336
2072,ssp245,Widebody,0.900281472874493
2072,ssp370,Narrowbody,0.856798961253383
2072,ssp370,Widebody,0.900982525646806
2072,ssp585,Narrowbody,0.856810102741578
2072,ssp585,Widebody,0.901058533738023
2073,ssp126,Narrowbody,0.856141362856001
2073,ssp126,Widebody,0.899958685529251
2073,ssp245,Narrowbody,0.856385760664179
2073,ssp245,Widebody,0.90042972395966
2073,ssp370,Narrowbody,0.856824638324321
2073,ssp370,Widebody,0.900986716142724
2073,ssp585,Narrowbody,0.85708884311498
2073,ssp585,Widebody,0.901228483651474
2074,ssp126,Narrowbody,0.855930915332629
2074,ssp126,Widebody,0.899789973059089
2074,ssp245,Narrowbody,0.856349222866551
2074,ssp245,Widebody,0.900210187530654
2074,ssp370,Narrowbody,0.856814577984947
2074,ssp370,Widebody,0.901022953169015
2074,ssp585,Narrowbody,0.856693429889858
2074,ssp585,Widebody,0.900607515414748
2075,ssp126,Narrowbody,0.855764499732765
2075,ssp126,Widebody,0.899331860362006
2075,ssp245,Narrowbody,0.856255260126316
2075,ssp245,Widebody,0.90010561872831
2075,ssp370,Narrowbody,0.856760253702961
2075,ssp370,Widebody,0.900771186645343
2075,ssp585,Narrowbody,0.85698210929423
2075,ssp585,Widebody,0.901070018717189
2076,ssp126,Narrowbody,0.855998324545113
2076,ssp126,Widebody,0.899661932534613
2076,ssp245,Narrowbody,0.856710048626616
2076,ssp245,Widebody,0.900932596353968
2076,ssp370,Narrowbody,0.856684219697403
2076,ssp370,Widebody,0.900832349731439
2076,ssp585,Narrowbody,0.856705073209537
2076,ssp585,Widebody,0.900700684460696
2077,ssp126,Narrowbody,0.855967103782739
2077,ssp126,Widebody,0.899692583050648
2077,ssp245,Narrowbody,0.856398747282784
2077,ssp245,Widebody,0.90030140552728
2077,ssp370,Narrowbody,0.856440991188901
2077,ssp370,Widebody,0.900358160873622
2077,ssp585,Narrowbody,0.856801951662398
2077,ssp585,Widebody,0.900893716394838
2078,ssp126,Narrowbody,0.855981063366979
2078,ssp126,Widebody,0.899668966749761
2078,ssp245,Narrowbody,0.856241156309222
2078,ssp245,Widebody,0.900154175762984
2078,ssp370,Narrowbody,0.856792126205283
2078,ssp370,Widebody,0.900878499109844
2078,ssp585,Narrowbody,0.856832890690104
2078,ssp585,Widebody,0.900834555810355
2079,ssp126,Narrowbody,0.855959208976144
2079,ssp126,Widebody,0.899772769798778
2079,ssp245,Narrowbody,0.856223292770245
2079,ssp245,Widebody,0.900099699562101
2079,ssp370,Narrowbody,0.856975844950369
2079,ssp370,Widebody,0.901194972281134
2079,ssp585,Narrowbody,0.857038409318315
2079,ssp585,Widebody,0.901157086181674
2080,ssp126,Narrowbody,0.855796998890803
2080,ssp126,Widebody,0.899465555345992
2080,ssp245,Narrowbody,0.85643426389151
2080,ssp245,Widebody,0.900410763261752
2080,ssp370,Narrowbody,0.856577834930474
2080,ssp370,Widebody,0.900402092689112
2080,ssp585,Narrowbody,0.857251950645222
2080,ssp585,Widebody,0.901498330859557
2081,ssp126,Narrowbody,0.855923217264655
2081,ssp126,Widebody,0.899968274380441
2081,ssp245,Narrowbody,0.856484568430189
2081,ssp245,Widebody,0.900527336019544
2081,ssp370,Narrowbody,0.856764740652888
2081,ssp370,Widebody,0.900894318599286
2081,ssp585,Narrowbody,0.857178664809559
2081,ssp585,Widebody,0.901431143103296
2082,ssp126,Narrowbody,0.856045803932745
2082,ssp126,Widebody,0.899847459656474
2082,ssp245,Narrowbody,0.856352350518262
2082,ssp245,Widebody,0.900274072218649
2082,ssp370,Narrowbody,0.856751722346684
2082,ssp370,Widebody,0.901041418679619
2082,ssp585,Narrowbody,0.857120288115687
2082,ssp585,Widebody,0.901348372747284
2083,ssp126,Narrowbody,0.855671841775961
2083,ssp126,Widebody,0.899248285408344
2083,ssp245,Narrowbody,0.856118282999381
2083,ssp245,Widebody,0.899747354046088
2083,ssp370,Narrowbody,0.856824564431302
2083,ssp370,Widebody,0.901064006186236
2083,ssp585,Narrowbody,0.857239962902935
2083,ssp585,Widebody,0.901518399161328
2084,ssp126,Narrowbody,0.85602566200288
2084,ssp126,Widebody,0.899891671137849
2084,ssp245,Narrowbody,0.856254740921925
2084,ssp245,Widebody,0.900076165304123
2084,ssp370,Narrowbody,0.856920766166242
2084,ssp370,Widebody,0.901233914736635
2084,ssp585,Narrowbody,0.857027641609743
2084,ssp585,Widebody,0.901331912555335
2085,ssp126,Narrowbody,0.856144553084718
2085,ssp126,Widebody,0.900008521250737
2085,ssp245,Narrowbody,0.856649216420607
2085,ssp245,Widebody,0.900821018287648
2085,ssp370,Narrowbody,0.856777550419993
2085,ssp370,Widebody,0.900997476442459
2085,ssp585,Narrowbody,0.85716293143453
2085,ssp585,Widebody,0.90138942719144
2086,ssp126,Narrowbody,0.856093568205601
2086,ssp126,Widebody,0.900024513011164
2086,ssp245,Narrowbody,0.856344816591467
2086,ssp245,Widebody,0.900330082935866
2086,ssp370,Narrowbody,0.85688690129798
2086,ssp370,Widebody,0.901090741677757
2086,ssp585,Narrowbody,0.856984816603013
2086,ssp585,Widebody,0.901034798985428
2087,ssp126,Narrowbody,0.855956494341639
2087,ssp126,Widebody,0.899795643856316
2087,ssp245,Narrowbody,0.856669936729167
2087,ssp245,Widebody,0.900841735886232
2087,ssp370,Narrowbody,0.856728139782223
2087,ssp370,Widebody,0.900888962077135
2087,ssp585,Narrowbody,0.85724810074471
2087,ssp585,Widebody,0.901467401209872
2088,ssp126,Narrowbody,0.855924537719432
2088,ssp126,Widebody,0.899632948647537
2088,ssp245,Narrowbody,0.856417076442769
2088,ssp245,Widebody,0.900263108620505
2088,ssp370,Narrowbody,0.857246425454962
2088,ssp370,Widebody,0.901594786995926
2088,ssp585,Narrowbody,0.857195928430008
2088,ssp585,Widebody,0.901425239344269
2089,ssp126,Narrowbody,0.856094122243282
2089,ssp126,Widebody,0.899818170984826
2089,ssp245,Narrowbody,0.856541258907423
2089,ssp245,Widebody,0.900583364029802
2089,ssp370,Narrowbody,0.856978973623715
2089,ssp370,Widebody,0.901155732047781
2089,ssp585,Narrowbody,0.857529974405464
2089,ssp585,Widebody,0.902096472796449
2090,ssp126,Narrowbody,0.856203095259587
2090,ssp126,Widebody,0.900116998167635
2090,ssp245,Narrowbody,0.85642553815889
2090,ssp245,Widebody,0.900370965964826
2090,ssp370,Narrowbody,0.856876650230534
2090,ssp370,Widebody,0.900928682162259
2090,ssp585,Narrowbody,0.857417514127917
2090,ssp585,Widebody,0.901838129037067
2091,ssp126,Narrowbody,0.855922606705434
2091,ssp126,Widebody,0.899670280991446
2091,ssp245,Narrowbody,0.856392705538975
2091,ssp245,Widebody,0.900124433063291
2091,ssp370,Narrowbody,0.856911809731647
2091,ssp370,Widebody,0.900822463197208
2091,ssp585,Narrowbody,0.857576320867041
2091,ssp585,Widebody,0.901986566246876
2092,ssp126,Narrowbody,0.855811201963586
2092,ssp126,Widebody,0.899577002028466
2092,ssp245,Narrowbody,0.85642759704727
2092,ssp245,Widebody,0.900440331375346
2092,ssp370,Narrowbody,0.856903119016004
2092,ssp370,Widebody,0.900971317073943
2092,ssp585,Narrowbody,0.857274981113233
2092,ssp585,Widebody,0.901547747534328
2093,ssp126,Narrowbody,0.855967289859536
2093,ssp126,Widebody,0.899785236712041
2093,ssp245,Narrowbody,0.856542546776207
2093,ssp245,Widebody,0.900617507574963
2093,ssp370,Narrowbody,0.857292154714011
2093,ssp370,Widebody,0.901760519452292
2093,ssp585,Narrowbody,0.857565643858607
2093,ssp585,Widebody,0.902043760045765
2094,ssp126,Narrowbody,0.856366662855401
2094,ssp126,Widebody,0.900243405737541
2094,ssp245,Narrowbody,0.856465172773758
2094,ssp245,Widebody,0.900506588524329
2094,ssp370,Narrowbody,0.857322861841708
2094,ssp370,Widebody,0.901760603831555
2094,ssp585,Narrowbody,0.857785507404736
2094,ssp585,Widebody,0.902538503063798
2095,ssp126,Narrowbody,0.856169532284127
2095,ssp126,Widebody,0.899985125583062
2095,ssp245,Narrowbody,0.856507709451339
2095,ssp245,Widebody,0.900638290288909
2095,ssp370,Narrowbody,0.85740683407418
2095,ssp370,Widebody,0.901846239162104
2095,ssp585,Narrowbody,0.85774519812593
2095,ssp585,Widebody,0.902362583985484
2096,ssp126,Narrowbody,0.856036535282603
2096,ssp126,Widebody,0.899810552442641
2096,ssp245,Narrowbody,0.856238304186195
2096,ssp245,Widebody,0.900083185491755
2096,ssp370,Narrowbody,0.857226240579034
2096,ssp370,Widebody,0.901601673765862
2096,ssp585,Narrowbody,0.857561397027343
2096,ssp585,Widebody,0.902059992831902
2097,ssp126,Narrowbody,0.855907222333338
2097,ssp126,Widebody,0.899743758544369
2097,ssp245,Narrowbody,0.856619806262548
2097,ssp245,Widebody,0.900788434797595
2097,ssp370,Narrowbody,0.856987759120371
2097,ssp370,Widebody,0.901178145106999
2097,ssp585,Narrowbody,0.857726658886972
2097,ssp585,Widebody,0.902378640726979
2098,ssp126,Narrowbody,0.855688207077579
2098,ssp126,Widebody,0.899293156254003
2098,ssp245,Narrowbody,0.856221753237436
2098,ssp245,Widebody,0.900060543190161
2098,ssp370,Narrowbody,0.857357231813258
2098,ssp370,Widebody,0.901813507248985
2098,ssp585,Narrowbody,0.857915868421019
2098,ssp585,Widebody,0.90262796582667
2099,ssp126,Narrowbody,0.855907501529212
2099,ssp126,Widebody,0.899580615127543
2099,ssp245,Narrowbody,0.85630353969582
2099,ssp245,Widebody,0.900287617181918
2099,ssp370,Narrowbody,0.857116983524578
2099,ssp370,Widebody,0.901378980734289
2099,ssp585,Narrowbody,0.857726977938147
2099,ssp585,Widebody,0.902130533383931
2100,ssp126,Narrowbody,0.856001373435831
2100,ssp126,Widebody,0.899789945804878
2100,ssp245,Narrowbody,0.856402957085777
2100,ssp245,Widebody,0.900162687181618
2100,ssp370,Narrowbody,0.857343514417902
2100,ssp370,Widebody,0.901855065807571
2100,ssp585,Narrowbody,0.857822329035212
2100,ssp585,Widebody,0.90251147266942
